project,class,complexity,final_iteration_num,final_line_coverage,final_branch_coverage,is_double_zero,report_file
JacksonDatabind-112f,AnnotatedMethodCollector,15,3,38.10,29.41,false,result-files/control_gpt-4o-mini/AnnotatedMethodCollector_control_test_results.html
JacksonDatabind-112f,AnnotationIntrospectorPair,14,11,35.02,25.00,false,result-files/control_gpt-4o-mini/AnnotationIntrospectorPair_control_test_results.html
Lang-4f,AnnotationUtils,19,6,47.37,38.04,false,result-files/control_gpt-4o-mini/AnnotationUtils_control_test_results.html
Compress-47f,ArArchiveInputStream,19,7,48.15,36.90,false,result-files/control_gpt-4o-mini/ArArchiveInputStream_control_test_results.html
Compress-47f,ArchiveStreamFactory,22,18,55.03,60.87,false,result-files/control_gpt-4o-mini/ArchiveStreamFactory_control_test_results.html
Math-2f,ArithmeticUtils,14,10,40.24,34.13,false,result-files/control_gpt-4o-mini/ArithmeticUtils_control_test_results.html
Math-2f,ArrayFieldVector,14,2,0.00,0.00,true,result-files/control_gpt-4o-mini/ArrayFieldVector_control_test_results.html
Codec-18f,Base32,14,4,15.15,18.67,false,result-files/control_gpt-4o-mini/Base32_control_test_results.html
JacksonCore-26f,Base64Variant,14,10,59.45,52.00,false,result-files/control_gpt-4o-mini/Base64Variant_control_test_results.html
Codec-18f,Base64,11,7,79.05,70.59,false,result-files/control_gpt-4o-mini/Base64_control_test_results.html
JxPath-22f,BasicTypeConverter,32,26,77.33,71.23,false,result-files/control_gpt-4o-mini/BasicTypeConverter_control_test_results.html
Math-2f,Beta,16,9,74.07,68.60,false,result-files/control_gpt-4o-mini/Beta_control_test_results.html
Math-2f,BicubicSplineInterpolator,14,1,100.00,94.12,false,result-files/control_gpt-4o-mini/BicubicSplineInterpolator_control_test_results.html
Compress-47f,BinaryTree,12,3,27.69,21.88,false,result-files/control_gpt-4o-mini/BinaryTree_control_test_results.html
Compress-47f,BlockSort,18,2,0.00,0.00,true,result-files/control_gpt-4o-mini/BlockSort_control_test_results.html
Lang-4f,BooleanUtils,16,15,57.89,58.98,false,result-files/control_gpt-4o-mini/BooleanUtils_control_test_results.html
Math-2f,BracketingNthOrderBrentSolverDFP,19,4,27.91,15.15,false,result-files/control_gpt-4o-mini/BracketingNthOrderBrentSolverDFP_control_test_results.html
Math-2f,BracketingNthOrderBrentSolver,19,6,76.52,60.61,false,result-files/control_gpt-4o-mini/BracketingNthOrderBrentSolver_control_test_results.html
